phase,notC,notZ,i3,i2,i1,i0,,incPC,notLoadP,notLoadA,notLoadF,notCarry,M,S3,S2,S1,S0,notCsRam,notWeRam,notOeALU,notOeIn,notOeOpr,notLoadO
0,0,0,0,0,0,0,,1,1,1,1,1,0,0,0,0,0,1,1,0,1,1,1
0,0,0,0,0,0,1,,1,1,1,1,1,0,0,0,0,0,1,1,0,1,1,1
0,0,0,0,0,1,0,,1,1,1,1,1,0,0,0,0,0,1,1,0,1,1,1
0,0,0,0,0,1,1,,1,1,1,1,1,0,0,0,0,0,1,1,0,1,1,1
0,0,0,0,1,0,0,,1,1,1,1,1,0,0,0,0,0,1,1,0,1,1,1
0,0,0,0,1,0,1,,1,1,1,1,1,0,0,0,0,0,1,1,0,1,1,1
0,0,0,0,1,1,0,,1,1,1,1,1,0,0,0,0,0,1,1,0,1,1,1
0,0,0,0,1,1,1,,1,1,1,1,1,0,0,0,0,0,1,1,0,1,1,1
0,0,0,1,0,0,0,,1,1,1,1,1,0,0,0,0,0,1,1,0,1,1,1
0,0,0,1,0,0,1,,1,1,1,1,1,0,0,0,0,0,1,1,0,1,1,1
0,0,0,1,0,1,0,,1,1,1,1,1,0,0,0,0,0,1,1,0,1,1,1
0,0,0,1,0,1,1,,1,1,1,1,1,0,0,0,0,0,1,1,0,1,1,1
0,0,0,1,1,0,0,,1,1,1,1,1,0,0,0,0,0,1,1,0,1,1,1
0,0,0,1,1,0,1,,1,1,1,1,1,0,0,0,0,0,1,1,0,1,1,1
0,0,0,1,1,1,0,,1,1,1,1,1,0,0,0,0,0,1,1,0,1,1,1
0,0,0,1,1,1,1,,1,1,1,1,1,0,0,0,0,0,1,1,0,1,1,1
0,0,1,0,0,0,0,,1,1,1,1,1,0,0,0,0,0,1,1,0,1,1,1
0,0,1,0,0,0,1,,1,1,1,1,1,0,0,0,0,0,1,1,0,1,1,1
0,0,1,0,0,1,0,,1,1,1,1,1,0,0,0,0,0,1,1,0,1,1,1
0,0,1,0,0,1,1,,1,1,1,1,1,0,0,0,0,0,1,1,0,1,1,1
0,0,1,0,1,0,0,,1,1,1,1,1,0,0,0,0,0,1,1,0,1,1,1
0,0,1,0,1,0,1,,1,1,1,1,1,0,0,0,0,0,1,1,0,1,1,1
0,0,1,0,1,1,0,,1,1,1,1,1,0,0,0,0,0,1,1,0,1,1,1
0,0,1,0,1,1,1,,1,1,1,1,1,0,0,0,0,0,1,1,0,1,1,1
0,0,1,1,0,0,0,,1,1,1,1,1,0,0,0,0,0,1,1,0,1,1,1
0,0,1,1,0,0,1,,1,1,1,1,1,0,0,0,0,0,1,1,0,1,1,1
0,0,1,1,0,1,0,,1,1,1,1,1,0,0,0,0,0,1,1,0,1,1,1
0,0,1,1,0,1,1,,1,1,1,1,1,0,0,0,0,0,1,1,0,1,1,1
0,0,1,1,1,0,0,,1,1,1,1,1,0,0,0,0,0,1,1,0,1,1,1
0,0,1,1,1,0,1,,1,1,1,1,1,0,0,0,0,0,1,1,0,1,1,1
0,0,1,1,1,1,0,,1,1,1,1,1,0,0,0,0,0,1,1,0,1,1,1
0,0,1,1,1,1,1,,1,1,1,1,1,0,0,0,0,0,1,1,0,1,1,1
0,1,0,0,0,0,0,,1,1,1,1,1,0,0,0,0,0,1,1,0,1,1,1
0,1,0,0,0,0,1,,1,1,1,1,1,0,0,0,0,0,1,1,0,1,1,1
0,1,0,0,0,1,0,,1,1,1,1,1,0,0,0,0,0,1,1,0,1,1,1
0,1,0,0,0,1,1,,1,1,1,1,1,0,0,0,0,0,1,1,0,1,1,1
0,1,0,0,1,0,0,,1,1,1,1,1,0,0,0,0,0,1,1,0,1,1,1
0,1,0,0,1,0,1,,1,1,1,1,1,0,0,0,0,0,1,1,0,1,1,1
0,1,0,0,1,1,0,,1,1,1,1,1,0,0,0,0,0,1,1,0,1,1,1
0,1,0,0,1,1,1,,1,1,1,1,1,0,0,0,0,0,1,1,0,1,1,1
0,1,0,1,0,0,0,,1,1,1,1,1,0,0,0,0,0,1,1,0,1,1,1
0,1,0,1,0,0,1,,1,1,1,1,1,0,0,0,0,0,1,1,0,1,1,1
0,1,0,1,0,1,0,,1,1,1,1,1,0,0,0,0,0,1,1,0,1,1,1
0,1,0,1,0,1,1,,1,1,1,1,1,0,0,0,0,0,1,1,0,1,1,1
0,1,0,1,1,0,0,,1,1,1,1,1,0,0,0,0,0,1,1,0,1,1,1
0,1,0,1,1,0,1,,1,1,1,1,1,0,0,0,0,0,1,1,0,1,1,1
0,1,0,1,1,1,0,,1,1,1,1,1,0,0,0,0,0,1,1,0,1,1,1
0,1,0,1,1,1,1,,1,1,1,1,1,0,0,0,0,0,1,1,0,1,1,1
0,1,1,0,0,0,0,,1,1,1,1,1,0,0,0,0,0,1,1,0,1,1,1
0,1,1,0,0,0,1,,1,1,1,1,1,0,0,0,0,0,1,1,0,1,1,1
0,1,1,0,0,1,0,,1,1,1,1,1,0,0,0,0,0,1,1,0,1,1,1
0,1,1,0,0,1,1,,1,1,1,1,1,0,0,0,0,0,1,1,0,1,1,1
0,1,1,0,1,0,0,,1,1,1,1,1,0,0,0,0,0,1,1,0,1,1,1
0,1,1,0,1,0,1,,1,1,1,1,1,0,0,0,0,0,1,1,0,1,1,1
0,1,1,0,1,1,0,,1,1,1,1,1,0,0,0,0,0,1,1,0,1,1,1
0,1,1,0,1,1,1,,1,1,1,1,1,0,0,0,0,0,1,1,0,1,1,1
0,1,1,1,0,0,0,,1,1,1,1,1,0,0,0,0,0,1,1,0,1,1,1
0,1,1,1,0,0,1,,1,1,1,1,1,0,0,0,0,0,1,1,0,1,1,1
0,1,1,1,0,1,0,,1,1,1,1,1,0,0,0,0,0,1,1,0,1,1,1
0,1,1,1,0,1,1,,1,1,1,1,1,0,0,0,0,0,1,1,0,1,1,1
0,1,1,1,1,0,0,,1,1,1,1,1,0,0,0,0,0,1,1,0,1,1,1
0,1,1,1,1,0,1,,1,1,1,1,1,0,0,0,0,0,1,1,0,1,1,1
0,1,1,1,1,1,0,,1,1,1,1,1,0,0,0,0,0,1,1,0,1,1,1
0,1,1,1,1,1,1,,1,1,1,1,1,0,0,0,0,0,1,1,0,1,1,1
1,0,0,0,0,0,0,,0,0,1,1,1,0,0,0,0,0,1,1,0,1,1,1
1,0,0,0,0,0,1,,1,1,1,1,1,0,0,0,0,0,1,1,0,1,1,1
1,0,0,0,0,1,0,,0,1,1,0,0,0,0,1,1,0,1,1,1,1,0,1
1,0,0,0,0,1,1,,1,1,1,0,0,0,0,1,1,0,0,1,1,1,1,1
1,0,0,0,1,0,0,,0,1,0,0,X,1,1,0,1,0,1,1,1,1,0,1
1,0,0,0,1,0,1,,0,1,0,0,X,1,1,0,1,0,1,1,1,0,1,1
1,0,0,0,1,1,0,,1,1,0,0,X,1,1,0,1,0,0,1,1,1,1,1
1,0,0,0,1,1,1,,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1
1,0,0,1,0,0,0,,0,0,1,1,1,0,0,0,0,0,1,1,0,1,1,1
1,0,0,1,0,0,1,,1,1,1,1,1,0,0,0,0,0,1,1,0,1,1,1
1,0,0,1,0,1,0,,0,1,0,0,1,0,1,0,0,1,1,1,1,1,0,1
1,0,0,1,0,1,1,,1,1,0,0,1,0,1,0,0,1,0,1,1,1,1,1
1,0,0,1,1,0,0,,0,0,1,1,1,0,0,0,0,0,1,1,0,1,1,1
1,0,0,1,1,0,1,,0,1,1,1,1,0,0,0,0,0,1,1,0,1,1,0
1,0,0,1,1,1,0,,0,1,0,0,X,1,0,0,0,1,1,1,1,1,0,1
1,0,0,1,1,1,1,,1,1,0,0,X,1,0,0,0,1,0,1,1,1,1,1
1,0,1,0,0,0,0,,0,0,1,1,1,0,0,0,0,0,1,1,0,1,1,1
1,0,1,0,0,0,1,,1,1,1,1,1,0,0,0,0,0,1,1,0,1,1,1
1,0,1,0,0,1,0,,0,1,1,0,0,0,0,1,1,0,1,1,1,1,0,1
1,0,1,0,0,1,1,,1,1,1,0,0,0,0,1,1,0,0,1,1,1,1,1
1,0,1,0,1,0,0,,0,1,0,0,X,1,1,0,1,0,1,1,1,1,0,1
1,0,1,0,1,0,1,,0,1,0,0,X,1,1,0,1,0,1,1,1,0,1,1
1,0,1,0,1,1,0,,1,1,0,0,X,1,1,0,1,0,0,1,1,1,1,1
1,0,1,0,1,1,1,,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1
1,0,1,1,0,0,0,,1,1,1,1,1,0,0,0,0,0,1,1,0,1,1,1
1,0,1,1,0,0,1,,0,0,1,1,1,0,0,0,0,0,1,1,0,1,1,1
1,0,1,1,0,1,0,,0,1,0,0,1,0,1,0,0,1,1,1,1,1,0,1
1,0,1,1,0,1,1,,1,1,0,0,1,0,1,0,0,1,0,1,1,1,1,1
1,0,1,1,1,0,0,,0,0,1,1,1,0,0,0,0,0,1,1,0,1,1,1
1,0,1,1,1,0,1,,0,1,1,1,1,0,0,0,0,0,1,1,0,1,1,0
1,0,1,1,1,1,0,,0,1,0,0,X,1,0,0,0,1,1,1,1,1,0,1
1,0,1,1,1,1,1,,1,1,0,0,X,1,0,0,0,1,0,1,1,1,1,1
1,1,0,0,0,0,0,,1,1,1,1,1,0,0,0,0,0,1,1,0,1,1,1
1,1,0,0,0,0,1,,0,0,1,1,1,0,0,0,0,0,1,1,0,1,1,1
1,1,0,0,0,1,0,,0,1,1,0,0,0,0,1,1,0,1,1,1,1,0,1
1,1,0,0,0,1,1,,1,1,1,0,0,0,0,1,1,0,0,1,1,1,1,1
1,1,0,0,1,0,0,,0,1,0,0,X,1,1,0,1,0,1,1,1,1,0,1
1,1,0,0,1,0,1,,0,1,0,0,X,1,1,0,1,0,1,1,1,0,1,1
1,1,0,0,1,1,0,,1,1,0,0,X,1,1,0,1,0,0,1,1,1,1,1
1,1,0,0,1,1,1,,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1
1,1,0,1,0,0,0,,0,0,1,1,1,0,0,0,0,0,1,1,0,1,1,1
1,1,0,1,0,0,1,,1,1,1,1,1,0,0,0,0,0,1,1,0,1,1,1
1,1,0,1,0,1,0,,0,1,0,0,1,0,1,0,0,1,1,1,1,1,0,1
1,1,0,1,0,1,1,,1,1,0,0,1,0,1,0,0,1,0,1,1,1,1,1
1,1,0,1,1,0,0,,0,0,1,1,1,0,0,0,0,0,1,1,0,1,1,1
1,1,0,1,1,0,1,,0,1,1,1,1,0,0,0,0,0,1,1,0,1,1,0
1,1,0,1,1,1,0,,0,1,0,0,X,1,0,0,0,1,1,1,1,1,0,1
1,1,0,1,1,1,1,,1,1,0,0,X,1,0,0,0,1,0,1,1,1,1,1
1,1,1,0,0,0,0,,1,1,1,1,1,0,0,0,0,0,1,1,0,1,1,1
1,1,1,0,0,0,1,,0,0,1,1,1,0,0,0,0,0,1,1,0,1,1,1
1,1,1,0,0,1,0,,0,1,1,0,0,0,0,1,1,0,1,1,1,1,0,1
1,1,1,0,0,1,1,,1,1,1,0,0,0,0,1,1,0,0,1,1,1,1,1
1,1,1,0,1,0,0,,0,1,0,0,X,1,1,0,1,0,1,1,1,1,0,1
